periodo,uf,n_amostral,n_amostral_cp,n_amostral_nano,total_cp_estimado,total_nano_estimado,ic95_low,ic95_high,cv_pct,share_nano_em_cp,mei_ativos_total,taxa_formalizacao_aprox,informais_aprox,observacao_mei_maior_nano
2025T3,SC,30826,4345,2581,1077780.82495774,611532.66551151,578307.91917538,644757.41184764,2.77,0.5674,695075,1.0,0.0,True
2025T3,GO,15904,1884,1357,833328.4973545,596395.7100086301,551421.4948856676,641369.9251315926,3.85,0.7157,496545,0.8326,99851.0,False
2025T3,AM,14135,2063,1923,544599.07392892,500805.4992039,464799.88500783395,536811.113399966,3.67,0.9196,118960,0.2375,381845.0,False
2025T3,PI,11859,1328,1216,394436.82160732,359590.50281677,325755.66945539584,393425.33617814415,4.8,0.9117,94819,0.2637,264772.0,False
2025T3,ES,17907,2196,1653,485672.40579279006,358262.69736256,333714.8276157879,382810.5671093321,3.5,0.7377,314407,0.8776,43856.0,False
2025T3,PB,13995,1364,1216,387093.54328194004,345547.92155079,316869.0801668663,374226.76293471374,4.23,0.8927,169878,0.4916,175670.0,False
2025T3,RN,9912,1103,986,383725.15322050004,339376.24299351,306603.6125132095,372148.87347381044,4.93,0.8844,147648,0.4351,191728.0,False
2025T3,MT,13472,1778,1228,451095.39265099,285478.32959006005,259798.32452535263,311158.3346547675,4.59,0.6329,248225,0.8695,37253.0,False
2025T3,AL,19707,1789,1625,305297.99584364996,274510.5758334,254576.79311809674,294444.3585487033,3.7,0.8992,115400,0.4204,159111.0,False
2025T3,MS,11072,1291,884,323313.86412791,214299.93271737001,194177.6106920972,234422.25474264284,4.79,0.6628,173655,0.8103,40645.0,False
2025T3,SE,9129,841,747,217796.35053641,188952.3375444,169172.35327305068,208732.32181574934,5.34,0.8676,82426,0.4362,106526.0,False
2025T3,DF,8585,795,505,268955.34916774,166304.92314689,148018.30528355352,184591.5410102265,5.61,0.6183,200324,1.0,0.0,True
2025T3,RO,8164,1045,804,199349.17537712998,147519.15010452998,129532.91855716662,165505.38165189335,6.22,0.74,76061,0.5156,71458.0,False
